		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110000010  241  227  257  248  266  235  222  220  8.969561 0.344870 SUCCESS  97
110000100  242  250  230  270  219  265  236  238  8.806450 0.358886 SUCCESS  98
110001000  252  246  252  245  230  250  266  243  3.567806 0.893864 SUCCESS  99
110001010  227  251  259  259  264  244  255  240  5.564337 0.695902 SUCCESS 100
110010000  244  254  259  250  250  260  235  271  6.123578 0.633391 SUCCESS 101
110010010  239  249  234  237  239  253  230  247  2.186652 0.974748 SUCCESS 102
110010100  247  236  242  251  238  244  248  247  0.791728 0.999253 SUCCESS 103
110011000  247  256  235  246  212  258  215  241  9.823251 0.277651 SUCCESS 104
110011010  236  248  254  229  234  249  233  250  2.931247 0.938598 SUCCESS 105
110100000  231  244  247  245  251  231  226  243  3.095418 0.928228 SUCCESS 106
110100010  219  229  238  221  211  244  231  233 11.971243 0.152492 SUCCESS 107
110100100  234  243  259  261  234  256  262  242  4.988150 0.758842 SUCCESS 108
110101000  266  254  252  224  287  242  243  243 12.237094 0.140935 SUCCESS 109
110101010  238  237  242  251  245  255  237  239  1.424051 0.993898 SUCCESS 110
110101100  233  252  244  256  259  228  239  249  3.635593 0.888415 SUCCESS 111
110110000  244  219  253  247  258  247  219  243  6.573724 0.583242 SUCCESS 112
110110010  256  264  263  265  245  240  236  262  7.335266 0.500929 SUCCESS 113
110110100  241  250  258  258  242  243  247  231  2.608200 0.956494 SUCCESS 114
110111000  222  237  230  248  232  231  276  257  9.557400 0.297474 SUCCESS 115
110111010  256  245  238  227  247  250  248  229  3.216163 0.920069 SUCCESS 116
110111100  241  251  237  226  221  225  207  238 11.661966 0.166935 SUCCESS 117
111000000  284  241  232  236  258  254  260  215 13.570586 0.093668 SUCCESS 118
111000010  257  249  237  268  220  225  241  228  8.591439 0.377924 SUCCESS 119
111000100  247  260  266  222  254  262  250  237  7.332088 0.501263 SUCCESS 120
111000110  259  227  225  217  228  225  262  261 12.058094 0.148631 SUCCESS 121
111001000  254  235  273  249  258  273  253  245  9.083952 0.335264 SUCCESS 122
111001010  258  243  248  244  254  241  266  253  3.700202 0.883109 SUCCESS 123
111001100  240  259  229  252  219  264  228  259  8.628509 0.374596 SUCCESS 124
111010000  214  231  275  247  252  208  235  224 16.508717 0.035651 SUCCESS 125
111010010  249  259  235  268  239  258  243  244  4.738187 0.785157 SUCCESS 126
111010100  273  264  225  226  277  261  255  243 14.439103 0.071014 SUCCESS 127
111010110  253  244  230  253  248  234  246  237  2.240669 0.972730 SUCCESS 128
111011000  240  233  256  237  252  219  239  259  5.394871 0.714658 SUCCESS 129
111011010  237  235  227  258  237  256  235  241  3.832598 0.871902 SUCCESS 130
111011100  227  222  240  248  234  259  288  260 14.047211 0.080543 SUCCESS 131
111100000  268  235  235  239  238  229  257  220  7.528034 0.480874 SUCCESS 132
111100010  253  257  256  232  227  246  257  237  4.431028 0.816293 SUCCESS 133
111100100  246  237  249  231  262  265  254  257  5.375806 0.716757 SUCCESS 134
111100110  247  264  232  235  194  262  229  238 15.810725 0.045171 SUCCESS 135
111101000  238  230  248  249  240  219  230  231  5.490196 0.704126 SUCCESS 136
111101010  277  239  230  230  256  255  245  251  7.682673 0.465065 SUCCESS 137
111101100  234  262  266  264  258  230  233  241  7.715507 0.461742 SUCCESS 138
111101110  252  252  230  209  238  261  269  238 10.743667 0.216651 SUCCESS 139
111110000  271  211  235  233  233  232  259  249 10.771206 0.215003 SUCCESS 140
111110010  249  215  264  264  264  228  266  285 18.922560 0.015279 SUCCESS 141
111110100  250  238  220  249  243  219  212  269 12.545312 0.128481 SUCCESS 142
111110110  227  267  252  271  267  253  238  250  9.637896 0.291366 SUCCESS 143
111111000  241  234  233  224  227  223  250  255  6.496405 0.591806 SUCCESS 144
111111010  251  256  210  245  259  202  234  274 18.405686 0.018382 SUCCESS 145
111111100  272  233  229  230  223  234  257  274 12.439395 0.132649 SUCCESS 146
111111110  262  244  241  231  237  230  253  264  5.192570 0.736810 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  236  233  236  212  273  264  223  244 12.552726 0.128194 SUCCESS   0
000000011  230  246  254  227  257  265  248  247  5.162913 0.740030 SUCCESS   1
000000101  218  243  234  247  233  265  238  251  6.096040 0.636475 SUCCESS   2
000000111  243  236  275  232  253  242  247  238  5.493373 0.703774 SUCCESS   3
000001001  250  236  254  243  238  236  231  234  2.447207 0.964147 SUCCESS   4
000001011  240  252  214  247  264  255  266  250  8.562841 0.380504 SUCCESS   5
000001101  237  243  230  256  246  251  225  237  3.643007 0.887812 SUCCESS   6
000001111  254  243  258  230  238  260  262  239  4.771021 0.781746 SUCCESS   7
000010001  257  248  227  237  280  255  250  241  8.364777 0.398673 SUCCESS   8
000010011  256  261  224  240  250  242  247  250  3.938515 0.862628 SUCCESS   9
000010101  265  257  259  243  241  226  242  245  4.946843 0.763242 SUCCESS  10
000010111  236  242  201  236  284  232  254  253 16.563794 0.034986 SUCCESS  11
000011001  266  243  227  262  244  261  249  223  7.826720 0.450577 SUCCESS  12
000011011  240  216  225  270  219  225  239  266 14.172193 0.077386 SUCCESS  13
000011101  235  268  255  247  235  241  251  239  4.009479 0.856267 SUCCESS  14
000011111  244  221  253  237  244  262  239  236  4.559187 0.803483 SUCCESS  15
000100011  246  278  248  236  255  264  263  236  9.183513 0.327052 SUCCESS  16
000100101  242  249  261  227  231  251  241  254  3.953343 0.861308 SUCCESS  17
000100111  270  250  232  264  242  244  250  267  7.661489 0.467215 SUCCESS  18
000101001  258  242  234  250  254  237  243  262  3.402576 0.906618 SUCCESS  19
000101011  284  241  245  249  244  240  245  251  7.157326 0.519758 SUCCESS  20
000101101  259  267  233  251  256  251  246  242  4.710648 0.788007 SUCCESS  21
000101111  249  257  247  278  248  233  242  260  7.374455 0.496822 SUCCESS  22
000110011  249  247  246  237  234  239  276  218  8.107399 0.423050 SUCCESS  23
000110101  236  257  248  263  250  262  230  252  5.162913 0.740030 SUCCESS  24
000110111  267  204  261  270  239  239  248  256 13.964596 0.082693 SUCCESS  25
000111001  251  228  253  251  250  252  275  227  7.525916 0.481092 SUCCESS  26
000111011  245  262  275  254  231  228  248  240  7.775879 0.455664 SUCCESS  27
000111101  248  248  248  200  222  249  244  245 10.617626 0.224320 SUCCESS  28
000111111  259  234  241  247  225  255  243  245  3.507434 0.898612 SUCCESS  29
001000011  240  222  249  257  216  222  258  228 10.291403 0.245166 SUCCESS  30
001000101  224  234  252  237  273  246  220  268 11.056122 0.198539 SUCCESS  31
001000111  234  222  250  250  248  235  255  261  4.924600 0.765604 SUCCESS  32
001001011  246  232  236  224  260  231  226  236  6.102395 0.635763 SUCCESS  33
001001101  276  261  209  268  237  228  256  250 15.213355 0.055127 SUCCESS  34
001001111  239  256  230  262  253  253  246  257  4.292277 0.829837 SUCCESS  35
001010011  259  250  259  235  243  232  255  260  4.570838 0.802305 SUCCESS  36
001010101  243  231  233  241  238  238  263  254  3.541327 0.895959 SUCCESS  37
001010111  270  238  247  270  233  234  253  253  7.493082 0.484483 SUCCESS  38
001011011  258  220  250  227  261  236  235  238  6.667990 0.572840 SUCCESS  39
001011101  231  243  248  221  253  259  265  242  6.200897 0.624740 SUCCESS  40
001011111  271  255  262  254  255  234  224  240  8.051263 0.428479 SUCCESS  41
001100101  231  234  236  257  232  253  225  215  8.246150 0.409802 SUCCESS  42
001100111  217  251  247  259  205  256  255  213 15.978074 0.042695 SUCCESS  43
001101011  218  271  258  243  235  270  258  233 11.301849 0.185176 SUCCESS  44
001101101  229  243  237  242  252  250  252  255  2.381539 0.967026 SUCCESS  45
001101111  252  211  243  265  239  244  236  248  7.217698 0.513337 SUCCESS  46
001110101  232  233  228  247  247  248  215  261  7.182746 0.517050 SUCCESS  47
001110111  231  265  266  253  216  243  227  252  9.798890 0.279426 SUCCESS  48
001111011  234  257  257  227  252  263  262  237  6.422263 0.600043 SUCCESS  49
001111101  239  246  260  266  245  253  236  250  3.984059 0.858559 SUCCESS  50
001111111  216  255  246  234  238  256  240  247  5.165031 0.739801 SUCCESS  51
010000011  250  244  232  254  241  253  246  225  3.121897 0.926476 SUCCESS  52
010000111  244  233  264  225  236  225  260  235  6.997391 0.536914 SUCCESS  53
010001011  247  242  251  233  243  239  223  258  3.601700 0.891155 SUCCESS  54
010001111  214  219  234  220  260  244  254  254 11.313500 0.184561 SUCCESS  55
010010011  254  246  231  272  252  255  253  269  8.168831 0.417155 SUCCESS  56
010010111  253  228  269  225  266  234  235  222 10.494763 0.232001 SUCCESS  57
010011011  256  262  226  257  243  245  262  245  5.410758 0.712906 SUCCESS  58
