		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000000101  235  237  264  255  218  229  237  240  6.890415 0.548501 SUCCESS   2
000000111  231  236  251  257  253  236  228  232  4.249910 0.833901 SUCCESS   3
000001001  258  246  236  235  271  236  255  232  5.926573 0.655457 SUCCESS   4
000001011  238  254  256  267  255  259  251  226  6.416967 0.600632 SUCCESS   5
000001101  249  223  222  257  264  261  267  243  9.869854 0.274280 SUCCESS   6
000001111  229  224  222  264  247  259  210  232 12.961564 0.113179 SUCCESS   7
000010001  277  234  249  244  235  229  242  249  6.555718 0.585234 SUCCESS   8
000010011  271  236  238  256  275  249  239  224 10.062623 0.260658 SUCCESS   9
000010101  286  223  265  260  221  245  226  249 15.995021 0.042451 SUCCESS  10
000010111  225  255  241  265  217  263  279  238 13.876685 0.085037 SUCCESS  11
000011001  250  236  233  238  270  244  266  250  6.119341 0.633866 SUCCESS  12
000011011  250  242  241  265  259  260  247  227  5.335557 0.721183 SUCCESS  13
000011101  253  269  250  244  232  244  253  248  4.121751 0.845975 SUCCESS  14
000011111  200  222  212  249  242  244  233  228 16.440930 0.036487 SUCCESS  15
000100011  252  226  238  241  285  254  237  258 10.377195 0.239543 SUCCESS  16
000100101  241  254  246  236  227  238  241  273  5.724272 0.678086 SUCCESS  17
000100111  257  251  245  251  256  245  211  248  6.419086 0.600396 SUCCESS  18
000101001  228  270  229  233  242  218  249  232  9.065946 0.336763 SUCCESS  19
000101011  272  221  275  263  212  224  212  238 21.725118 0.005451 FAILURE  20
000101101  215  230  258  227  254  208  248  230 13.348161 0.100419 SUCCESS  21
000101111  235  252  246  253  240  251  262  228  3.691729 0.883811 SUCCESS  22
000110011  262  235  242  240  269  245  251  233  5.147025 0.741753 SUCCESS  23
000110101  253  235  243  268  220  231  246  260  7.385047 0.495715 SUCCESS  24
000110111  217  265  228  235  256  258  248  242  7.913571 0.441958 SUCCESS  25
000111001  234  240  257  262  279  221  247  241 10.057327 0.261025 SUCCESS  26
000111011  239  280  259  241  242  237  267  244  8.993922 0.342809 SUCCESS  27
000111101  223  259  251  232  257  265  255  245  6.704002 0.568879 SUCCESS  28
