		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111011100  244  215  247  244  240  213  249  251  8.106340 0.423152 SUCCESS 131
111100000  251  234  221  262  241  221  252  228  7.925222 0.440809 SUCCESS 132
111100010  252  246  256  241  268  254  235  255  4.598376 0.799512 SUCCESS 133
111100100  248  237  250  220  247  247  253  241  3.335849 0.911549 SUCCESS 134
111100110  216  265  245  267  227  269  253  226 13.007109 0.111605 SUCCESS 135
111101000  239  216  227  241  216  249  237  248  8.477049 0.388309 SUCCESS 136
111101010  235  272  245  253  235  234  250  246  4.929896 0.765042 SUCCESS 137
111101100  245  243  233  255  254  233  218  278  9.724748 0.284879 SUCCESS 138
111101110  247  215  228  229  211  224  227  259 14.244217 0.075618 SUCCESS 139
111110000  231  246  239  271  242  239  252  263  5.818538 0.667550 SUCCESS 140
111110010  266  243  245  242  248  243  256  266  4.748778 0.784059 SUCCESS 141
111110100  242  245  244  246  240  256  230  239  1.663423 0.989651 SUCCESS 142
111110110  238  250  238  234  235  239  225  255  3.413168 0.905823 SUCCESS 143
111111000  231  213  236  256  243  245  259  261  7.863790 0.446887 SUCCESS 144
111111010  222  250  230  253  229  252  245  232  5.257179 0.729768 SUCCESS 145
111111100  231  234  229  253  256  283  259  265 12.250863 0.140357 SUCCESS 146
111111110  236  225  218  234  232  257  245  264  8.157180 0.418269 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  272  245  253  228  261  234  269  254  9.405939 0.309217 SUCCESS   0
000000011  276  230  249  250  275  243  253  283 16.177198 0.039913 SUCCESS   1
000000101  253  245  257  226  256  219  260  236  7.050350 0.531210 SUCCESS   2
000000111  280  236  254  263  268  240  235  269 13.116203 0.107913 SUCCESS   3
000001001  205  268  239  243  224  258  240  237 11.835669 0.158688 SUCCESS   4
000001011  248  247  242  233  260  228  258  263  5.136434 0.742899 SUCCESS   5
000001101  245  237  264  249  220  216  263  235  9.671790 0.288822 SUCCESS   6
000001111  245  249  263  245  227  246  228  269  6.597026 0.580667 SUCCESS   7
000010001  238  250  219  238  256  259  236  218  7.844725 0.448783 SUCCESS   8
000010011  224  279  220  253  212  246  220  241 16.562735 0.034998 SUCCESS   9
000010101  237  220  267  223  255  215  238  247 11.077305 0.197357 SUCCESS  10
000010111  252  256  234  222  259  245  271  253  7.702797 0.463027 SUCCESS  11
000011001  251  250  249  255  256  236  265  244  3.671605 0.885471 SUCCESS  12
000011011  248  245  263  259  238  224  225  231  6.667990 0.572840 SUCCESS  13
000011101  252  221  255  265  251  272  245  276 12.675589 0.123510 SUCCESS  14
000011111  251  247  285  268  224  258  237  236 12.755027 0.120561 SUCCESS  15
000100011  237  250  246  246  205  273  234  246 10.858057 0.209872 SUCCESS  16
000100101  251  259  266  214  255  274  235  242 11.664084 0.166833 SUCCESS  17
000100111  206  272  237  286  250  233  206  221 26.188450 0.000975 FAILURE  18
000101001  222  257  243  233  252  240  281  246  9.416530 0.308385 SUCCESS  19
000101011  275  241  246  211  239  219  256  237 12.341951 0.136587 SUCCESS  20
000101101  257  217  238  207  273  243  246  267 15.587241 0.048684 SUCCESS  21
000101111  250  256  230  242  229  261  268  227  7.441183 0.489864 SUCCESS  22
000110011  226  248  248  233  245  239  274  249  6.039904 0.642762 SUCCESS  23
000110101  254  262  236  246  242  231  270  269  8.268392 0.407702 SUCCESS  24
000110111  245  223  258  254  237  236  227  251  5.060174 0.751126 SUCCESS  25
000111001  238  243  247  277  262  246  220  244  8.612622 0.376020 SUCCESS  26
000111011  231  223  239  247  233  253  244  240  3.697025 0.883373 SUCCESS  27
000111101  249  257  235  238  235  229  238  263  4.304987 0.828612 SUCCESS  28
000111111  268  237  273  255  220  237  262  251 10.898306 0.207528 SUCCESS  29
001000011  250  235  244  232  279  226  247  231  8.431504 0.392493 SUCCESS  30
001000101  256  245  219  250  271  264  242  229  9.143265 0.330355 SUCCESS  31
001000111  255  248  249  239  216  264  249  247  5.937164 0.654270 SUCCESS  32
001001011  248  241  246  236  243  283  257  237  7.725039 0.460780 SUCCESS  33
001001101  238  265  265  224  247  241  268  250  8.204842 0.413721 SUCCESS  34
001001111  196  243  224  257  225  240  227  247 15.134977 0.056573 SUCCESS  35
001010011  238  254  244  237  269  253  257  278  9.306377 0.317113 SUCCESS  36
001010101  238  246  233  256  268  257  247  219  7.122373 0.523489 SUCCESS  37
001010111  276  236  267  240  242  233  245  240  7.492023 0.484592 SUCCESS  38
001011011  254  216  243  209  250  261  253  257 11.385523 0.180797 SUCCESS  39
001011101  218  245  223  238  259  241  215  240  9.589175 0.295052 SUCCESS  40
001011111  247  237  236  240  240  258  260  245  2.560538 0.958848 SUCCESS  41
001100101  247  246  220  242  235  252  268  236  5.845017 0.664587 SUCCESS  42
001100111  222  250  254  241  247  249  254  241  3.264884 0.916652 SUCCESS  43
001101011  265  275  250  263  247  226  249  259 10.005427 0.264645 SUCCESS  44
001101101  249  238  257  266  229  248  234  249  4.557069 0.803697 SUCCESS  45
001101111  244  234  263  219  244  222  247  249  6.827924 0.555307 SUCCESS  46
001110101  241  238  241  276  253  275  263  257 11.130264 0.194427 SUCCESS  47
001110111  257  232  269  251  245  253  245  239  4.598376 0.799512 SUCCESS  48
001111011  238  245  211  236  242  227  246  257  7.069415 0.529162 SUCCESS  49
001111101  246  248  233  257  246  260  216  222  7.812950 0.451952 SUCCESS  50
001111111  255  245  251  259  232  225  232  270  7.273834 0.507397 SUCCESS  51
010000011  247  233  277  243  224  250  227  258  9.063827 0.336940 SUCCESS  52
010000111  222  209  247  249  258  243  242  248  8.340416 0.400943 SUCCESS  53
010001011  247  232  223  236  268  252  228  226  7.999364 0.433532 SUCCESS  54
010001111  254  270  250  218  231  257  230  277 13.143741 0.106999 SUCCESS  55
010010011  206  263  219  243  230  244  250  236 11.618540 0.169052 SUCCESS  56
010010111  253  228  262  236  257  272  246  233  7.602176 0.473262 SUCCESS  57
010011011  226  255  258  242  248  253  248  271  6.248560 0.619411 SUCCESS  58
010011111  206  252  232  284  235  253  220  262 18.286000 0.019182 SUCCESS  59
010100011  253  250  252  229  260  236  252  250  3.468245 0.901640 SUCCESS  60
010100111  252  229  257  260  253  231  229  265  6.880883 0.549537 SUCCESS  61
010101011  237  231  247  252  249  233  237  243  2.088149 0.978190 SUCCESS  62
010101111  266  248  255  244  245  246  239  259  3.658895 0.886514 SUCCESS  63
010110011  244  235  240  229  224  247  243  277  7.729276 0.460352 SUCCESS  64
010110111  246  238  230  235  231  254  253  251  3.048814 0.931257 SUCCESS  65
010111011  243  252  232  248  246  228  223  257  4.664045 0.792805 SUCCESS  66
010111111  249  235  257  268  242  255  253  249  4.525294 0.806897 SUCCESS  67
011000111  238  252  233  246  235  235  253  247  2.035191 0.979914 SUCCESS  68
011001111  246  243  222  216  248  243  226  233  7.430591 0.490965 SUCCESS  69
011010111  261  242  245  259  245  235  245  253  2.859223 0.942879 SUCCESS  70
011011111  262  240  232  239  245  238  266  283 10.752141 0.216143 SUCCESS  71
011101111  250  225  258  232  234  242  226  232  5.602467 0.691663 SUCCESS  72
011111111  281  236  226  276  254  243  273  269 18.309302 0.019023 SUCCESS  73
100000000  272  245  253  228  261  234  269  254  9.405939 0.309217 SUCCESS  74
100010000  227  251  241  229  266  243  248  243  4.554951 0.803911 SUCCESS  75
100100000  242  228  258  234  230  247  242  249  3.370801 0.908982 SUCCESS  76
100101000  239  241  232  232  233  239  235  252  2.649508 0.954394 SUCCESS  77
100110000  248  265  240  238  227  237  239  254  4.122810 0.845877 SUCCESS  78
100111000  199  232  232  249  243  254  236  268 13.086546 0.108906 SUCCESS  79
101000000  254  238  234  233  228  218  252  240  5.858786 0.663046 SUCCESS  80
101000100  255  273  256  257  234  257  231  244  7.199692 0.515249 SUCCESS  81
101001000  242  244  237  236  241  245  290  246  9.489613 0.302689 SUCCESS  82
101001100  243  242  209  244  245  252  246  248  5.596112 0.692370 SUCCESS  83
101010000  232  243  240  231  254  240  230  238  2.919596 0.939301 SUCCESS  84
101010100  248  238  248  244  248  247  237  214  4.444797 0.814930 SUCCESS  85
101011000  246  249  256  243  253  238  250  236  1.636944 0.990194 SUCCESS  86
101011100  231  239  261  261  250  239  265  239  5.469012 0.706471 SUCCESS  87
101100000  266  230  218  231  220  238  233  241  9.684500 0.287872 SUCCESS  88
101100100  250  241  236  243  251  242  228  242  1.812765 0.986224 SUCCESS  89
101101000  224  246  267  249  269  233  248  251  7.458129 0.488104 SUCCESS  90
101101100  285  222  246  234  220  258  253  243 13.222120 0.104432 SUCCESS  91
101110000  237  237  261  285  257  243  231  242 10.171717 0.253180 SUCCESS  92
101110100  238  235  252  249  248  249  255  234  1.974818 0.981774 SUCCESS  93
101111000  252  253  258  250  231  245  222  233  4.889648 0.769303 SUCCESS  94
101111100  241  233  225  237  259  245  244  255  3.772226 0.877067 SUCCESS  95
110000000  272  244  243  256  254  235  240  256  5.330261 0.721764 SUCCESS  96
110000010  240  248  254  234  268  259  251  235  4.888588 0.769415 SUCCESS  97
110000100  254  270  220  235  236  249  241  230  7.335266 0.500929 SUCCESS  98
110001000  238  228  259  236  261  257  232  266  7.036580 0.532691 SUCCESS  99
110001010  241  263  246  231  260  238  255  228  5.124783 0.744160 SUCCESS 100
110010000  261  218  254  214  242  228  224  229 12.161893 0.144125 SUCCESS 101
110010010  232  250  237  284  260  258  253  218 12.829168 0.117864 SUCCESS 102
110010100  255  239  245  228  234  249  232  254  3.288186 0.914993 SUCCESS 103
110011000  243  239  259  236  231  237  243  216  5.635302 0.688008 SUCCESS 104
110011010  240  266  231  239  249  223  256  269  8.150825 0.418878 SUCCESS 105
110100000  239  220  266  255  244  211  236  255 10.535011 0.229463 SUCCESS 106
110100010  258  256  243  248  233  225  239  244  3.667368 0.885819 SUCCESS 107
110100100  229  241  226  246  235  260  273  255  7.871205 0.446151 SUCCESS 108
110101000  241  237  245  216  248  247  262  275  9.101957 0.333768 SUCCESS 109
110101010  247  223  262  240  229  223  227  238  7.612768 0.472180 SUCCESS 110
110101100  249  266  251  232  234  251  250  267  5.948815 0.652965 SUCCESS 111
110110000  270  234  238  216  225  240  232  253  9.359335 0.312895 SUCCESS 112
110110010  241  233  248  253  250  248  243  231  1.908091 0.983701 SUCCESS 113
110110100  231  235  266  248  246  239  251  264  5.173505 0.738881 SUCCESS 114
110111000  254  249  231  284  228  252  223  241 11.276429 0.186523 SUCCESS 115
110111010  244  242  238  256  233  239  237  254  2.039427 0.979779 SUCCESS 116
110111100  224  244  250  247  224  249  211  236  8.642279 0.373365 SUCCESS 117
111000000  245  252  239  271  254  252  251  254  4.726536 0.786364 SUCCESS 118
111000010  236  240  225  245  248  241  240  235  2.434497 0.964715 SUCCESS 119
111000100  241  232  249  233  252  263  231  279  8.944141 0.347030 SUCCESS 120
111000110  244  255  240  224  239  246  234  237  3.064702 0.930232 SUCCESS 121
111001000  244  231  254  223  244  246  236  232  3.951225 0.861497 SUCCESS 122
111001010  243  241  231  243  233  224  208  239  8.662403 0.371570 SUCCESS 123
111001100  233  257  272  228  232  236  237  237  6.952906 0.541722 SUCCESS 124
111010000  228  224  254  251  254  239  238  248  4.177887 0.840728 SUCCESS 125
111010010  239  249  216  256  248  248  245  229  5.260356 0.729421 SUCCESS 126
111010100  244  242  261  233  254  242  241  257  2.925951 0.938918 SUCCESS 127
111010110  247  231  235  243  222  262  246  270  7.401993 0.493945 SUCCESS 128
111011000  235  232  228  245  253  246  227  265  5.517734 0.701074 SUCCESS 129
111011010  210  222  270  258  263  263  257  253 14.714487 0.064941 SUCCESS 130
111011100  255  254  253  253  258  248  255  258  3.777522 0.876618 SUCCESS 131
111100000  236  258  225  259  249  233  265  235  6.406376 0.601810 SUCCESS 132
111100010  254  218  272  234  241  254  229  258  9.270365 0.320004 SUCCESS 133
111100100  235  217  258  243  243  247  237  224  6.262329 0.617873 SUCCESS 134
111100110  244  263  266  226  244  235  228  253  6.716712 0.567483 SUCCESS 135
111101000  257  236  236  236  237  247  226  264  4.856813 0.772765 SUCCESS 136
111101010  255  232  258  250  254  226  232  221  6.779203 0.560632 SUCCESS 137
111101100  242  244  229  247  248  250  235  233  2.110392 0.977439 SUCCESS 138
111101110  248  238  251  249  242  243  252  253  1.144431 0.997161 SUCCESS 139
111110000  249  240  255  271  245  235  257  243  4.797500 0.778984 SUCCESS 140
111110010  242  226  234  260  232  258  229  230  6.165945 0.628650 SUCCESS 141
111110100  281  233  225  273  242  240  231  262 13.541988 0.094512 SUCCESS 142
111110110  240  239  254  253  247  261  262  249  3.626061 0.889189 SUCCESS 143
111111000  255  239  262  259  229  243  265  238  5.883147 0.660319 SUCCESS 144
111111010  261  227  246  263  238  245  256  285 11.811308 0.159823 SUCCESS 145
111111100  281  245  258  251  234  236  246  240  7.580993 0.475431 SUCCESS 146
111111110  281  236  226  276  254  243  273  269 18.309302 0.019023 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  231  252  245  232  240  244  249  229  2.760721 0.948465 SUCCESS   0
000000011  226  241  247  225  223  224  272  241  9.957765 0.268003 SUCCESS   1
000000101  241  275  234  242  231  266  234  241  7.766347 0.456621 SUCCESS   2
000000111  240  231  229  245  217  234  250  213  9.576465 0.296019 SUCCESS   3
000001001  237  221  251  224  259  268  246  248  7.827779 0.450472 SUCCESS   4
000001011  217  272  238  240  220  239  248  236  9.560577 0.297231 SUCCESS   5
000001101  253  263  263  219  230  233  265  242  9.261892 0.320687 SUCCESS   6
000001111  244  241  246  262  235  218  236  228  6.035667 0.643237 SUCCESS   7
000010001  253  269  257  231  250  228  256  249  6.333293 0.609952 SUCCESS   8
000010011  248  238  237  239  275  278  250  260 10.663171 0.221524 SUCCESS   9
000010101  232  240  248  252  261  250  216  270  8.561782 0.380600 SUCCESS  10
000010111  228  237  229  242  215  245  248  226  7.357508 0.498597 SUCCESS  11
000011001  231  267  246  233  243  247  254  254  4.352650 0.823988 SUCCESS  12
000011011  237  253  261  237  242  245  255  224  4.209662 0.837729 SUCCESS  13
000011101  212  226  224  236  244  255  256  241  8.899656 0.350831 SUCCESS  14
000011111  237  243  232  251  226  204  247  250  9.437714 0.306726 SUCCESS  15
000100011  254  273  252  232  250  250  258  258  6.754842 0.563300 SUCCESS  16
000100101  242  226  277  232  234  274  242  266 12.874713 0.116234 SUCCESS  17
000100111  239  244  240  243  252  254  249  233  1.489719 0.992877 SUCCESS  18
000101001  234  241  264  233  246  252  263  219  7.135083 0.522131 SUCCESS  19
000101011  264  243  266  237  214  238  228  230  9.871972 0.274127 SUCCESS  20
000101101  249  230  251  253  252  253  214  246  5.936105 0.654389 SUCCESS  21
000101111  248  251  230  237  228  252  254  226  4.493519 0.810081 SUCCESS  22
000110011  221  238  237  216  261  231  243  253  8.266274 0.407901 SUCCESS  23
000110101  253  253  250  241  265  215  269  247  8.951556 0.346399 SUCCESS  24
000110111  243  247  259  216  236  256  254  261  6.825806 0.555538 SUCCESS  25
000111001  248  230  220  250  220  224  234  226  9.528802 0.299666 SUCCESS  26
000111011  247  236  221  230  215  262  275  230 13.257072 0.103305 SUCCESS  27
000111101  246  235  217  271  245  239  223  249  8.650752 0.372609 SUCCESS  28
000111111  235  254  248  253  267  205  233  248 10.453455 0.234630 SUCCESS  29
001000011  236  255  243  249  242  241  250  227  2.335994 0.968941 SUCCESS  30
001000101  249  246  271  226  241  239  230  246  5.580225 0.694136 SUCCESS  31
001000111  243  254  226  220  233  264  241  232  7.138261 0.521792 SUCCESS  32
001001011  239  248  241  263  263  260  255  257  5.506083 0.702366 SUCCESS  33
001001101  260  231  228  260  272  262  233  257  9.839138 0.276498 SUCCESS  34
001001111  242  231  212  245  244  249  265  252  7.334207 0.501041 SUCCESS  35
001010011  240  240  271  238  261  270  259  223 10.234208 0.248971 SUCCESS  36
