		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110010100  272  259  223  263  248  215  247  246 11.336801 0.183336 SUCCESS 103
110011000  246  241  237  244  254  230  275  245  5.571752 0.695078 SUCCESS 104
110011010  252  224  256  227  261  231  248  266  7.845785 0.448678 SUCCESS 105
110100000  253  251  233  240  224  257  231  223  6.169122 0.628294 SUCCESS 106
110100010  230  245  253  266  253  238  228  283 11.206524 0.190270 SUCCESS 107
110100100  241  252  224  260  280  243  249  253  8.980153 0.343973 SUCCESS 108
110101000  217  232  265  249  239  253  252  233  6.919013 0.545395 SUCCESS 109
110101010  209  227  229  237  224  253  248  228 10.868649 0.209253 SUCCESS 110
110101100  267  257  268  257  231  221  248  234  9.529861 0.299585 SUCCESS 111
110110000  220  232  252  251  256  257  223  228  7.843666 0.448889 SUCCESS 112
110110010  233  240  249  232  239  238  251  236  2.070143 0.978786 SUCCESS 113
110110100  233  256  241  238  226  235  234  228  4.602613 0.799081 SUCCESS 114
110111000  239  212  262  227  242  284  251  253 14.369198 0.072636 SUCCESS 115
110111010  244  249  245  253  267  241  269  267  7.534389 0.480219 SUCCESS 116
110111100  261  225  262  218  233  246  243  220 10.011782 0.264200 SUCCESS 117
111000000  260  231  256  227  234  232  258  235  5.863023 0.662572 SUCCESS 118
111000010  252  249  226  231  222  255  239  268  7.586288 0.474888 SUCCESS 119
111000100  221  248  240  213  238  268  220  224 13.261309 0.103169 SUCCESS 120
111000110  249  217  212  262  272  243  256  249 12.939322 0.113954 SUCCESS 121
111001000  255  243  246  256  255  235  235  237  2.540414 0.959820 SUCCESS 122
111001010  261  236  245  253  247  245  233  226  3.777522 0.876618 SUCCESS 123
111001100  259  242  243  250  260  237  280  258  8.659225 0.371853 SUCCESS 124
111010000  239  256  231  260  229  277  238  247  8.248268 0.409602 SUCCESS 125
111010010  238  226  252  255  272  251  256  251  6.604440 0.579848 SUCCESS 126
111010100  232  244  260  243  235  251  258  218  5.956229 0.652135 SUCCESS 127
111010110  243  255  251  265  249  226  232  240  4.740305 0.784938 SUCCESS 128
111011000  230  242  237  258  253  246  227  228  4.587785 0.800588 SUCCESS 129
111011010  211  242  255  229  242  248  259  231  7.888151 0.444472 SUCCESS 130
111011100  246  213  241  214  230  262  255  238 10.864412 0.209501 SUCCESS 131
111100000  257  235  237  235  235  263  227  237  4.942606 0.763693 SUCCESS 132
111100010  218  237  238  227  254  243  223  248  6.880883 0.549537 SUCCESS 133
111100100  272  220  236  263  254  226  246  240  9.438773 0.306643 SUCCESS 134
111100110  259  245  260  223  257  247  260  253  6.037785 0.642999 SUCCESS 135
111101000  235  228  238  258  226  266  243  248  5.917040 0.656524 SUCCESS 136
111101010  222  218  245  237  234  246  248  213  9.801008 0.279271 SUCCESS 137
111101100  235  235  238  235  258  244  257  230  3.580516 0.892852 SUCCESS 138
111101110  253  203  252  236  263  262  262  248 12.321827 0.137412 SUCCESS 139
111110000  254  251  240  235  229  263  232  241  4.181064 0.840429 SUCCESS 140
111110010  267  237  223  252  256  222  246  236  7.551336 0.478476 SUCCESS 141
111110100  244  238  248  267  242  264  255  230  5.478545 0.705416 SUCCESS 142
111110110  246  238  264  219  266  232  256  206 13.927525 0.083674 SUCCESS 143
111111000  271  272  236  252  231  240  229  239  8.776793 0.361474 SUCCESS 144
111111010  252  241  238  252  261  237  227  224  5.105718 0.746219 SUCCESS 145
111111100  258  273  236  249  221  205  238  250 13.784538 0.087557 SUCCESS 146
111111110  259  271  253  247  228  218  256  234  9.391110 0.310384 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  256  260  253  229  225  228  249  251  5.920218 0.656168 SUCCESS   0
000000011  244  271  262  236  227  254  234  232  7.406230 0.493503 SUCCESS   1
000000101  237  238  242  240  261  222  242  254  4.177887 0.840728 SUCCESS   2
000000111  263  263  254  241  243  256  223  225  7.516383 0.482076 SUCCESS   3
000001001  248  248  234  223  254  247  268  249  5.416054 0.712322 SUCCESS   4
000001011  205  214  245  232  276  239  241  238 15.572413 0.048925 SUCCESS   5
000001101  240  209  242  227  235  223  250  271 12.010432 0.150739 SUCCESS   6
000001111  240  255  256  248  217  266  234  233  7.337384 0.500707 SUCCESS   7
000010001  229  256  230  237  239  217  253  229  7.158385 0.519645 SUCCESS   8
000010011  228  250  225  209  276  256  252  235 13.541988 0.094512 SUCCESS   9
000010101  266  263  232  246  242  243  241  252  4.503051 0.809128 SUCCESS  10
000010111  227  231  242  235  234  244  254  219  5.866200 0.662216 SUCCESS  11
000011001  243  284  234  229  267  261  255  252 12.332419 0.136977 SUCCESS  12
000011011  228  210  242  224  232  243  255  259  9.837020 0.276652 SUCCESS  13
000011101  259  245  235  236  270  246  233  227  6.191365 0.625806 SUCCESS  14
000011111  245  254  229  269  235  245  218  255  7.755755 0.457685 SUCCESS  15
000100011  247  239  247  246  233  239  243  238  0.996147 0.998273 SUCCESS  16
000100101  249  249  253  261  254  244  263  256  4.261561 0.832787 SUCCESS  17
000100111  223  250  241  241  241  242  245  235  2.536177 0.960023 SUCCESS  18
000101001  223  235  233  258  222  243  266  234  8.124346 0.421419 SUCCESS  19
000101011  251  237  245  229  227  226  230  244  4.867405 0.771650 SUCCESS  20
000101101  253  210  251  255  254  238  245  248  6.607618 0.579497 SUCCESS  21
000101111  246  226  241  243  232  249  254  247  2.625147 0.955639 SUCCESS  22
000110011  229  241  229  251  250  260  272  261  7.892388 0.444052 SUCCESS  23
000110101  240  251  219  221  258  221  254  249  8.807509 0.358794 SUCCESS  24
000110111  224  225  259  240  248  225  227  246  7.145675 0.521000 SUCCESS  25
000111001  252  245  255  240  253  237  238  248  1.610464 0.990718 SUCCESS  26
000111011  244  249  271  240  242  263  234  251  5.395930 0.714541 SUCCESS  27
000111101  226  230  254  243  224  235  250  225  6.420145 0.600278 SUCCESS  28
000111111  254  234  236  245  248  248  212  236  5.909626 0.657355 SUCCESS  29
001000011  208  260  222  234  238  250  235  249  9.863499 0.274738 SUCCESS  30
001000101  240  262  242  232  214  244  243  221  8.183659 0.415739 SUCCESS  31
001000111  256  260  259  242  253  237  246  229  4.154585 0.842914 SUCCESS  32
001001011  243  231  259  258  245  224  249  258  5.123724 0.744274 SUCCESS  33
001001101  266  232  241  247  242  242  243  255  3.271239 0.916201 SUCCESS  34
001001111  218  251  245  240  250  237  264  215  8.795858 0.359809 SUCCESS  35
001010011  243  248  269  264  222  237  247  234  7.122373 0.523489 SUCCESS  36
001010101  246  250  237  232  248  238  239  233  1.857251 0.985080 SUCCESS  37
001010111  257  261  256  238  236  255  230  235  4.643921 0.794868 SUCCESS  38
001011011  226  233  246  265  255  238  246  256  5.049582 0.752264 SUCCESS  39
001011101  217  234  229  237  226  262  263  261 10.197137 0.251461 SUCCESS  40
001011111  245  219  247  253  243  244  288  253 11.541221 0.172877 SUCCESS  41
001100101  247  243  234  256  249  263  226  274  7.855317 0.447729 SUCCESS  42
001100111  247  237  203  247  242  243  284  274 17.992611 0.021282 SUCCESS  43
001101011  253  207  238  256  245  222  256  273 13.136327 0.107244 SUCCESS  44
001101101  232  241  251  238  256  256  260  264  4.959553 0.761890 SUCCESS  45
001101111  256  223  254  278  237  249  240  273 11.683149 0.165911 SUCCESS  46
001110101  240  252  226  233  246  255  250  229  3.882379 0.867577 SUCCESS  47
001110111  251  248  239  246  261  238  239  253  2.200421 0.974243 SUCCESS  48
