		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111111110  254  227  271  277  237  260  224  254 12.706305 0.122362 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  248  243  266  235  244  238  271  261  6.874528 0.550229 SUCCESS   0
000000011  238  247  259  237  235  237  234  262  3.702321 0.882933 SUCCESS   1
000000101  238  258  255  242  228  225  256  264  6.416967 0.600632 SUCCESS   2
000000111  234  246  242  250  233  227  232  248  3.067879 0.930026 SUCCESS   3
000001001  249  239  219  232  225  239  266  256  7.794945 0.453753 SUCCESS   4
000001011  250  271  250  243  242  233  263  257  6.112986 0.634577 SUCCESS   5
000001101  250  229  254  251  264  232  235  277  8.956851 0.345949 SUCCESS   6
000001111  257  240  247  224  224  262  248  241  5.699911 0.680805 SUCCESS   7
000010001  244  267  229  253  241  254  246  219  6.663753 0.573307 SUCCESS   8
000010011  239  238  242  240  219  232  269  254  6.693410 0.570043 SUCCESS   9
000010101  228  239  234  240  247  251  235  252  2.570070 0.958383 SUCCESS  10
000010111  243  288  269  229  260  221  259  266 18.049806 0.020856 SUCCESS  11
000011001  239  238  236  248  256  250  279  245  6.513352 0.589927 SUCCESS  12
000011011  262  248  257  241  267  246  236  254  5.085594 0.748390 SUCCESS  13
000011101  242  248  243  251  251  229  235  230  2.655863 0.954066 SUCCESS  14
000011111  264  246  251  244  271  243  254  222  7.441183 0.489864 SUCCESS  15
000100011  254  241  241  249  248  274  242  226  5.852431 0.663758 SUCCESS  16
000100101  241  250  232  265  239  234  235  224  5.270948 0.728263 SUCCESS  17
000100111  249  222  248  231  254  266  248  285 12.550607 0.128276 SUCCESS  18
000101001  238  239  259  277  232  257  232  239  7.845785 0.448678 SUCCESS  19
000101011  237  256  226  244  259  256  249  245  3.843190 0.870987 SUCCESS  20
000101101  262  236  212  256  244  227  246  235  8.213316 0.412915 SUCCESS  21
000101111  255  269  257  240  212  223  264  247 11.868503 0.157168 SUCCESS  22
000110011  227  233  261  256  262  247  271  223  9.910102 0.271392 SUCCESS  23
000110101  255  241  247  244  235  241  250  246  1.132780 0.997262 SUCCESS  24
000110111  272  268  229  242  258  264  239  261 10.502177 0.231532 SUCCESS  25
000111001  258  228  241  233  262  267  220  259  9.456779 0.305239 SUCCESS  26
000111011  242  233  238  273  259  228  262  235  7.980299 0.435397 SUCCESS  27
000111101  216  234  258  249  240  247  228  249  6.011306 0.645965 SUCCESS  28
000111111  266  229  249  258  261  236  235  234  6.186069 0.626398 SUCCESS  29
001000011  241  219  262  256  255  257  217  263 10.496881 0.231867 SUCCESS  30
001000101  246  251  233  242  213  218  250  245  7.904039 0.442900 SUCCESS  31
001000111  246  238  223  246  247  266  228  254  5.656485 0.685648 SUCCESS  32
001001011  259  255  244  261  266  233  240  234  5.703088 0.680450 SUCCESS  33
001001101  252  254  230  222  211  226  233  238 10.318941 0.243350 SUCCESS  34
001001111  234  219  263  205  267  245  240  253 13.729461 0.089095 SUCCESS  35
001010011  228  233  236  271  237  245  250  226  6.722008 0.566901 SUCCESS  36
001010101  243  254  258  246  238  238  261  262  4.127047 0.845483 SUCCESS  37
001010111  234  265  243  248  240  240  254  230  3.752101 0.878769 SUCCESS  38
001011011  266  248  223  253  238  235  256  251  5.624710 0.689187 SUCCESS  39
001011101  254  281  243  266  253  226  227  238 11.333624 0.183503 SUCCESS  40
001011111  249  246  266  233  231  236  274  244  7.458129 0.488104 SUCCESS  41
001100101  233  241  234  236  223  255  254  245  4.087858 0.849111 SUCCESS  42
001100111  213  228  233  254  249  250  244  226  7.782235 0.455026 SUCCESS  43
001101011  238  241  222  236  224  268  268  243  9.105135 0.333505 SUCCESS  44
001101101  265  224  281  237  235  216  261  268 16.863538 0.031562 SUCCESS  45
001101111  250  247  211  247  252  254  238  238  5.858786 0.663046 SUCCESS  46
001110101  279  260  231  216  266  259  257  255 14.469819 0.070312 SUCCESS  47
001110111  229  254  232  264  255  239  251  273  8.023725 0.431156 SUCCESS  48
001111011  204  246  253  248  256  276  231  234 13.299439 0.101954 SUCCESS  49
001111101  253  246  219  236  250  228  247  245  4.588844 0.800480 SUCCESS  50
001111111  223  237  252  270  251  236  239  236  6.075915 0.638728 SUCCESS  51
010000011  249  244  243  245  261  237  258  248  2.410136 0.965790 SUCCESS  52
010000111  253  210  258  258  240  256  216  244 10.919489 0.206303 SUCCESS  53
010001011  253  262  254  247  215  223  228  238  8.880591 0.352469 SUCCESS  54
010001111  235  249  243  260  246  233  211  259  7.651957 0.468185 SUCCESS  55
010010011  251  224  227  212  245  247  215  236 11.442718 0.177853 SUCCESS  56
010010111  236  254  258  234  242  234  245  221  4.665104 0.792697 SUCCESS  57
010011011  250  233  225  228  246  200  229  243 12.560140 0.127907 SUCCESS  58
010011111  224  244  250  245  246  234  211  237  7.178509 0.517501 SUCCESS  59
010100011  227  263  255  235  246  245  210  252  8.820219 0.357688 SUCCESS  60
010100111  213  232  251  274  246  261  253  232 10.886655 0.208205 SUCCESS  61
010101011  243  223  247  255  236  252  253  251  3.508493 0.898530 SUCCESS  62
010101111  232  243  231  255  231  268  279  226 11.548635 0.172507 SUCCESS  63
010110011  240  260  256  239  220  247  245  242  4.371715 0.822126 SUCCESS  64
010110111  247  221  223  223  229  243  262  249  8.510942 0.385214 SUCCESS  65
010111011  246  303  243  268  256  222  224  257 22.210217 0.004541 FAILURE  66
010111111  242  228  259  243  234  252  264  241  4.475513 0.811878 SUCCESS  67
011000111  270  225  261  225  253  238  248  229  8.667699 0.371099 SUCCESS  68
011001111  219  224  256  248  237  237  255  231  6.712475 0.567948 SUCCESS  69
011010111  245  247  213  232  234  252  253  235  6.148998 0.630546 SUCCESS  70
011011111  265  223  238  212  252  238  239  258  9.616713 0.292964 SUCCESS  71
011101111  223  280  241  259  253  258  261  285 17.756417 0.023129 SUCCESS  72
011111111  225  250  281  247  225  225  246  244 10.605976 0.225040 SUCCESS  73
100000000  248  243  266  235  244  238  271  261  6.874528 0.550229 SUCCESS  74
100010000  224  233  244  261  242  252  260  234  5.230700 0.732658 SUCCESS  75
100100000  237  221  252  250  243  252  248  252  3.484132 0.900418 SUCCESS  76
100101000  244  254  217  261  253  243  234  266  7.537567 0.479892 SUCCESS  77
100110000  267  251  225  223  266  225  234  242  9.887860 0.272985 SUCCESS  78
100111000  229  249  258  263  241  240  254  216  7.272775 0.507509 SUCCESS  79
101000000  237  250  252  214  251  233  259  272  9.422885 0.307886 SUCCESS  80
101000100  271  220  238  237  269  252  237  255  9.500204 0.301870 SUCCESS  81
101001000  240  260  248  266  246  259  215  250  7.923104 0.441017 SUCCESS  82
101001100  238  260  226  220  260  235  245  250  6.654221 0.574357 SUCCESS  83
101010000  267  271  212  210  237  222  262  255 18.726614 0.016392 SUCCESS  84
101010100  260  281  228  240  240  230  242  260 10.006487 0.264571 SUCCESS  85
101011000  244  243  236  264  248  250  250  270  5.151262 0.741293 SUCCESS  86
101011100  259  239  246  242  241  228  228  233  3.851663 0.870253 SUCCESS  87
101100000  256  239  233  271  244  238  270  258  8.104221 0.423356 SUCCESS  88
101100100  274  238  234  242  235  230  237  230  6.652103 0.574590 SUCCESS  89
101101000  225  256  286  257  237  248  239  251 10.868649 0.209253 SUCCESS  90
101101100  259  255  254  263  263  241  260  233  6.503819 0.590984 SUCCESS  91
101110000  236  250  236  248  226  234  205  241  9.122082 0.332102 SUCCESS  92
101110100  241  250  225  246  251  256  226  227  5.184096 0.737731 SUCCESS  93
101111000  244  250  239  240  248  248  298  246 12.768796 0.120056 SUCCESS  94
101111100  252  242  254  240  249  247  237  254  1.531027 0.992181 SUCCESS  95
110000000  253  252  252  240  239  244  244  242  1.061816 0.997827 SUCCESS  96
110000010  236  220  220  244  232  267  260  251  9.319087 0.316097 SUCCESS  97
110000100  250  245  230  260  266  233  229  229  6.552541 0.585586 SUCCESS  98
110001000  227  242  251  261  233  240  259  228  5.303782 0.724669 SUCCESS  99
110001010  224  233  249  268  271  238  233  261  9.705683 0.286294 SUCCESS 100
110010000  252  239  299  249  250  267  228  248 16.760799 0.032699 SUCCESS 101
110010010  266  237  228  264  235  232  251  270  9.029934 0.339777 SUCCESS 102
110010100  221  223  220  260  253  240  254  227  9.751227 0.282923 SUCCESS 103
110011000  270  229  244  241  248  231  229  227  6.852285 0.552651 SUCCESS 104
110011010  249  252  248  222  280  261  240  210 14.165838 0.077544 SUCCESS 105
110100000  223  254  261  217  259  225  259  269 12.673471 0.123589 SUCCESS 106
110100010  253  234  253  235  222  255  217  246  7.161562 0.519306 SUCCESS 107
110100100  249  239  263  230  245  261  232  253  4.732891 0.785706 SUCCESS 108
110101000  260  266  232  226  252  219  247  242  8.101044 0.423663 SUCCESS 109
110101010  260  250  217  249  238  244  234  249  5.125842 0.744045 SUCCESS 110
110101100  245  254  254  236  241  244  240  267  3.439647 0.903823 SUCCESS 111
110110000  265  268  222  243  258  229  256  229  9.691914 0.287319 SUCCESS 112
110110010  260  250  237  257  250  220  253  239  5.188333 0.737270 SUCCESS 113
110110100  239  245  283  259  247  234  239  245  8.038553 0.429713 SUCCESS 114
110111000  225  257  259  268  222  254  198  238 17.263904 0.027475 SUCCESS 115
110111010  234  245  228  235  237  217  236  253  5.837603 0.665417 SUCCESS 116
110111100  217  228  233  239  246  256  278  248 10.392024 0.238582 SUCCESS 117
111000000  240  239  227  243  209  222  248  229  9.764996 0.281909 SUCCESS 118
111000010  251  237  249  245  276  248  220  226  8.745018 0.364261 SUCCESS 119
111000100  218  234  250  268  231  239  255  251  7.429532 0.491076 SUCCESS 120
111000110  230  241  248  218  244  250  250  248  4.198011 0.838831 SUCCESS 121
111001000  259  228  265  262  243  276  238  262 11.061418 0.198243 SUCCESS 122
111001010  220  233  241  245  250  250  267  234  5.978472 0.649643 SUCCESS 123
111001100  278  216  248  229  236  252  223  215 15.272668 0.054055 SUCCESS 124
111010000  242  252  250  223  241  234  241  249  2.936542 0.938276 SUCCESS 125
111010010  261  252  257  248  250  261  219  221  8.527889 0.383672 SUCCESS 126
111010100  257  259  259  232  260  232  227  260  7.200751 0.515136 SUCCESS 127
111010110  239  249  256  236  232  254  268  254  4.953198 0.762567 SUCCESS 128
111011000  277  249  192  254  259  245  258  231 19.089909 0.014386 SUCCESS 129
111011010  235  263  246  253  236  249  237  252  3.068938 0.929957 SUCCESS 130
111011100  224  254  236  244  244  268  238  233  5.507142 0.702249 SUCCESS 131
111100000  273  218  220  253  238  251  263  244 11.092133 0.196533 SUCCESS 132
111100010  235  234  225  255  280  223  260  266 13.276137 0.102695 SUCCESS 133
111100100  245  228  272  253  215  239  242  274 12.236035 0.140979 SUCCESS 134
111100110  248  235  269  224  237  243  237  223  7.080006 0.528026 SUCCESS 135
111101000  249  242  265  213  241  239  268  260  9.705683 0.286294 SUCCESS 136
111101010  232  259  245  267  241  248  231  267  6.832161 0.554845 SUCCESS 137
111101100  261  248  210  241  278  252  244  219 14.044034 0.080625 SUCCESS 138
111101110  211  249  240  240  244  262  255  232  7.371277 0.497155 SUCCESS 139
111110000  269  222  230  250  242  244  234  247  6.175477 0.627583 SUCCESS 140
111110010  218  225  287  262  247  244  238  250 13.923289 0.083787 SUCCESS 141
111110100  257  253  269  240  232  235  262  248  6.122519 0.633510 SUCCESS 142
111110110  253  244  216  220  253  256  245  228  8.186837 0.415436 SUCCESS 143
111111000  250  251  227  250  264  230  224  252  6.232672 0.621187 SUCCESS 144
111111010  259  251  298  249  231  242  235  246 14.651996 0.066276 SUCCESS 145
111111100  216  242  261  266  240  238  249  251  7.136142 0.522018 SUCCESS 146
111111110  225  250  281  247  225  225  246  244 10.605976 0.225040 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  258  239  240  249  240  241  258  235  2.381539 0.967026 SUCCESS   0
000000011  252  227  247  268  229  253  260  236  6.605499 0.579731 SUCCESS   1
000000101  246  247  275  261  231  237  236  286 13.948709 0.083112 SUCCESS   2
000000111  239  240  277  257  231  255  240  221  9.033112 0.339510 SUCCESS   3
000001001  266  256  249  222  245  258  244  226  7.010101 0.535543 SUCCESS   4
000001011  262  263  246  277  242  270  233  288 18.992465 0.014900 SUCCESS   5
000001101  259  240  246  240  252  245  237  250  1.723795 0.988341 SUCCESS   6
000001111  228  241  261  267  227  248  246  249  5.988004 0.648576 SUCCESS   7
000010001  248  272  227  233  238  232  246  231  6.648925 0.574940 SUCCESS   8
000010011  260  274  249  238  212  288  259  220 21.039836 0.007042 FAILURE   9
000010101  239  264  271  232  256  208  258  252 12.672412 0.123629 SUCCESS  10
000010111  259  254  247  257  237  247  246  264  4.026426 0.854731 SUCCESS  11
000011001  245  236  240  261  222  244  228  247  4.772080 0.781636 SUCCESS  12
000011011  241  232  244  237  245  233  227  247  2.684460 0.952574 SUCCESS  13
000011101  246  226  248  258  232  250  247  242  3.109187 0.927320 SUCCESS  14
000011111  241  264  245  264  243  247  246  252  3.709735 0.882317 SUCCESS  15
000100011  253  252  210  229  250  245  231  225  8.928254 0.348385 SUCCESS  16
000100101  281  212  230  236  226  237  234  236 13.579059 0.093419 SUCCESS  17
000100111  240  247  259  231  245  266  236  241  4.125988 0.845581 SUCCESS  18
000101001  246  256  250  239  252  218  232  239  4.758311 0.783068 SUCCESS  19
000101011  239  234  242  230  296  226  260  255 15.771536 0.045769 SUCCESS  20
000101101  241  246  252  245  247  264  248  266  4.121751 0.845975 SUCCESS  21
000101111  255  232  251  245  265  240  255  249  3.847427 0.870620 SUCCESS  22
000110011  255  220  248  270  265  235  239  228  9.278838 0.319322 SUCCESS  23
000110101  213  267  240  241  268  223  250  235 11.239358 0.188502 SUCCESS  24
